frame,J0_x,J0_y,J0_z,J1_x,J1_y,J1_z,J2_x,J2_y,J2_z,J3_x,J3_y,J3_z,J4_x,J4_y,J4_z,J5_x,J5_y,J5_z,J6_x,J6_y,J6_z,J7_x,J7_y,J7_z,J8_x,J8_y,J8_z,J9_x,J9_y,J9_z,J10_x,J10_y,J10_z,J11_x,J11_y,J11_z,J12_x,J12_y,J12_z,J13_x,J13_y,J13_z,J14_x,J14_y,J14_z,J15_x,J15_y,J15_z,J16_x,J16_y,J16_z,J17_x,J17_y,J17_z,J18_x,J18_y,J18_z,J19_x,J19_y,J19_z,J20_x,J20_y,J20_z,J21_x,J21_y,J21_z,J22_x,J22_y,J22_z,J23_x,J23_y,J23_z,J24_x,J24_y,J24_z
127,-0.030800,0.137775,1.039380,-0.039091,0.270798,1.025200,-0.109859,0.257463,0.540715,-0.147512,0.247324,0.061054,-0.022774,0.004541,1.051590,-0.062357,-0.000843,0.563423,-0.126976,-0.016304,0.086788,-0.117313,0.143865,1.297920,-0.086196,0.157718,1.548290,-0.030938,0.155394,1.669500,-0.071823,0.156930,1.776970,-0.103513,0.297246,1.471750,-0.060075,0.375600,1.193450,0.150611,0.435185,1.061690,-0.080110,0.009788,1.487410,-0.033342,-0.079833,1.213080,0.179239,-0.146007,1.087660,0.013192,0.273609,0.036810,0.086866,0.285947,0.030099,0.033043,-0.009409,0.048696,0.105678,-0.006071,0.030308,0.094838,0.515832,1.042060,0.216597,0.463917,0.992266,0.133099,-0.233149,1.071010,0.251346,-0.162020,0.971689
128,-0.031108,0.138063,1.039540,-0.039527,0.271082,1.025390,-0.109781,0.257626,0.540834,-0.147480,0.247315,0.061179,-0.022953,0.004833,1.051720,-0.062315,-0.000641,0.563527,-0.127004,-0.016316,0.086909,-0.117368,0.144113,1.298160,-0.086977,0.157798,1.548630,-0.031692,0.155200,1.669820,-0.072798,0.156660,1.777210,-0.104293,0.297600,1.472590,-0.059053,0.377394,1.194980,0.160957,0.434494,1.078220,-0.080563,0.009654,1.488310,-0.032698,-0.080947,1.214490,0.188998,-0.144544,1.104470,0.013210,0.273610,0.036852,0.086874,0.285949,0.030049,0.032990,-0.009397,0.048716,0.105621,-0.006056,0.030318,0.106975,0.516256,1.058200,0.230820,0.464741,1.013380,0.144275,-0.231957,1.085520,0.269339,-0.161754,0.994216
129,-0.031081,0.138177,1.039690,-0.039401,0.271202,1.025540,-0.109659,0.257710,0.540990,-0.147463,0.247366,0.061344,-0.023026,0.004941,1.051860,-0.062147,-0.000459,0.563651,-0.126918,-0.016212,0.087046,-0.117161,0.144362,1.298360,-0.087751,0.157860,1.548960,-0.032278,0.155005,1.670060,-0.073548,0.156346,1.777390,-0.105010,0.297959,1.473460,-0.057494,0.379089,1.196620,0.170844,0.433540,1.095650,-0.080920,0.009512,1.489190,-0.031394,-0.081978,1.215960,0.198517,-0.142989,1.122600,0.013216,0.273608,0.036889,0.086879,0.285924,0.030021,0.033055,-0.009388,0.048749,0.105666,-0.006083,0.030264,0.118487,0.516273,1.075300,0.244437,0.465422,1.035920,0.156054,-0.231209,1.102250,0.286454,-0.161302,1.018490
130,-0.031397,0.138806,1.039750,-0.040263,0.271798,1.025630,-0.109536,0.258028,0.540945,-0.147452,0.247302,0.061316,-0.022801,0.005602,1.051910,-0.061913,-0.000115,0.563701,-0.126916,-0.016267,0.087141,-0.116776,0.144603,1.298670,-0.088509,0.157731,1.549420,-0.032732,0.154865,1.670380,-0.074193,0.156012,1.777640,-0.105661,0.298130,1.474450,-0.055879,0.380589,1.198410,0.179741,0.432453,1.114200,-0.081210,0.009166,1.490250,-0.029496,-0.082616,1.217520,0.207660,-0.140828,1.142250,0.013213,0.273617,0.036846,0.086870,0.285963,0.029969,0.033029,-0.009390,0.048738,0.105643,-0.006073,0.030265,0.129619,0.516768,1.094730,0.256820,0.465735,1.059870,0.168563,-0.230737,1.122550,0.302130,-0.160452,1.044280
131,-0.031236,0.139126,1.039870,-0.040276,0.272113,1.025810,-0.109255,0.258204,0.541085,-0.147407,0.247322,0.061479,-0.022465,0.005927,1.051960,-0.061505,0.000154,0.563750,-0.126881,-0.016214,0.087249,-0.116305,0.144654,1.298900,-0.089090,0.157734,1.549760,-0.033049,0.154747,1.670600,-0.074637,0.155651,1.777810,-0.106093,0.298446,1.475350,-0.053805,0.382041,1.200110,0.188082,0.430764,1.133670,-0.081154,0.009055,1.490960,-0.027046,-0.083931,1.219110,0.215431,-0.140846,1.161980,0.013240,0.273620,0.036867,0.086891,0.285959,0.029920,0.033039,-0.009378,0.048736,0.105651,-0.006088,0.030248,0.139280,0.515985,1.114810,0.268033,0.465739,1.084840,0.180472,-0.232185,1.141120,0.316761,-0.158806,1.070790
132,-0.031016,0.139470,1.039960,-0.040281,0.272447,1.025960,-0.108855,0.258419,0.541181,-0.147386,0.247367,0.061609,-0.022023,0.006281,1.052000,-0.061212,0.000396,0.563802,-0.126876,-0.016159,0.087347,-0.115805,0.144751,1.299090,-0.089167,0.157622,1.550030,-0.033137,0.154587,1.670870,-0.074962,0.155330,1.777990,-0.106200,0.298587,1.476100,-0.051023,0.383569,1.201860,0.195907,0.428565,1.153910,-0.080813,0.008686,1.491930,-0.024601,-0.084733,1.220660,0.222604,-0.137859,1.183710,0.013245,0.273638,0.036866,0.086895,0.285967,0.029885,0.033026,-0.009355,0.048750,0.105628,-0.006079,0.030226,0.148038,0.513461,1.131520,0.279270,0.464511,1.111980,0.190115,-0.230553,1.164940,0.329228,-0.158139,1.099290
133,-0.030598,0.139955,1.040030,-0.040224,0.272913,1.026080,-0.108595,0.258662,0.541281,-0.147359,0.247372,0.061734,-0.021244,0.006786,1.052000,-0.060791,0.000697,0.563837,-0.126871,-0.016119,0.087448,-0.115298,0.145018,1.299180,-0.088948,0.157466,1.550170,-0.033053,0.154366,1.671080,-0.075155,0.155014,1.778090,-0.105867,0.298735,1.476810,-0.047912,0.384763,1.203460,0.202635,0.425864,1.174560,-0.080072,0.008427,1.492420,-0.021804,-0.086231,1.222010,0.228468,-0.135014,1.205220,0.013253,0.273643,0.036866,0.086898,0.285973,0.029845,0.033005,-0.009363,0.048733,0.105594,-0.006109,0.030153,0.156130,0.511613,1.152560,0.288463,0.463441,1.139610,0.198487,-0.228657,1.186990,0.340972,-0.156214,1.129060
134,-0.030214,0.140356,1.040090,-0.040141,0.273297,1.026190,-0.108319,0.258870,0.541368,-0.147335,0.247392,0.061846,-0.020561,0.007204,1.052020,-0.060303,0.000987,0.563871,-0.126807,-0.016105,0.087551,-0.114472,0.145274,1.299390,-0.088520,0.157307,1.550450,-0.032672,0.154156,1.671370,-0.075210,0.154710,1.778210,-0.105286,0.298887,1.477640,-0.043973,0.385357,1.205170,0.208621,0.422863,1.195810,-0.079156,0.008195,1.492960,-0.017453,-0.086967,1.223490,0.234196,-0.131233,1.226900,0.013260,0.273660,0.036868,0.086904,0.285990,0.029831,0.033060,-0.009346,0.048801,0.105622,-0.006076,0.030119,0.163386,0.509636,1.175210,0.296278,0.461865,1.167610,0.205502,-0.225345,1.209030,0.351986,-0.154413,1.159860
135,-0.029818,0.140862,1.040120,-0.040125,0.273780,1.026270,-0.108024,0.259105,0.541419,-0.147314,0.247329,0.061927,-0.019788,0.007734,1.052000,-0.059890,0.001257,0.563887,-0.126829,-0.016134,0.087639,-0.113464,0.145389,1.299630,-0.088256,0.157098,1.550770,-0.032200,0.154048,1.671600,-0.075080,0.154463,1.778310,-0.104579,0.298979,1.478460,-0.038753,0.385655,1.207110,0.214363,0.419290,1.217050,-0.078449,0.007951,1.493460,-0.012804,-0.087386,1.224980,0.238477,-0.127567,1.248260,0.013264,0.273646,0.036891,0.086898,0.285995,0.029785,0.033011,-0.009351,0.048785,0.105575,-0.006079,0.030107,0.170636,0.506285,1.194250,0.303953,0.459216,1.197570,0.211117,-0.221899,1.229480,0.361680,-0.152173,1.192390
136,-0.029091,0.141128,1.040180,-0.039595,0.274040,1.026420,-0.107711,0.259242,0.541603,-0.147266,0.247369,0.062135,-0.018865,0.008006,1.051970,-0.059502,0.001391,0.563898,-0.126822,-0.016075,0.087706,-0.112249,0.145175,1.299850,-0.087734,0.156941,1.551060,-0.031517,0.154012,1.671820,-0.074735,0.154300,1.778390,-0.103793,0.299126,1.479290,-0.034375,0.385772,1.208820,0.217697,0.415264,1.238620,-0.077370,0.007840,1.493720,-0.007326,-0.087782,1.226460,0.241894,-0.124010,1.269760,0.013285,0.273677,0.036916,0.086914,0.286024,0.029746,0.033008,-0.009335,0.048800,0.105568,-0.006086,0.030106,0.173670,0.503385,1.221410,0.307364,0.457426,1.225120,0.216584,-0.218998,1.251410,0.368999,-0.148967,1.223640
137,-0.028152,0.141392,1.040180,-0.038831,0.274292,1.026440,-0.107313,0.259398,0.541678,-0.147239,0.247455,0.062242,-0.017752,0.008282,1.051950,-0.059035,0.001580,0.563934,-0.126812,-0.015961,0.087810,-0.110889,0.145360,1.299990,-0.086813,0.156724,1.551260,-0.030774,0.153846,1.672100,-0.074293,0.154132,1.778550,-0.102597,0.299212,1.480030,-0.029339,0.385889,1.210590,0.220113,0.410654,1.260170,-0.075904,0.007644,1.493970,-0.001402,-0.087781,1.227850,0.244049,-0.120299,1.291050,0.013302,0.273695,0.036889,0.086932,0.286016,0.029692,0.033002,-0.009300,0.048825,0.105555,-0.006087,0.030096,0.175161,0.498968,1.246750,0.309437,0.454979,1.252660,0.221236,-0.216102,1.273690,0.374546,-0.144913,1.255400
138,-0.027213,0.141715,1.040110,-0.038195,0.274598,1.026450,-0.106762,0.259584,0.541698,-0.147234,0.247446,0.062313,-0.016515,0.008621,1.051800,-0.058446,0.001768,0.563839,-0.126800,-0.015940,0.087804,-0.109617,0.145756,1.300020,-0.085746,0.156464,1.551340,-0.029954,0.153707,1.672300,-0.073700,0.154001,1.778650,-0.101288,0.299232,1.480610,-0.022945,0.386234,1.212710,0.222285,0.406133,1.281740,-0.074176,0.007445,1.494020,0.004583,-0.088159,1.229190,0.244728,-0.116316,1.311870,0.013296,0.273694,0.036895,0.086919,0.286017,0.029632,0.033011,-0.009315,0.048804,0.105563,-0.006118,0.030067,0.179902,0.495314,1.265920,0.312447,0.449339,1.283750,0.225651,-0.213522,1.298190,0.377893,-0.138816,1.286040
139,-0.026317,0.141903,1.040120,-0.037388,0.274780,1.026470,-0.106271,0.259670,0.541770,-0.147205,0.247438,0.062426,-0.015533,0.008816,1.051800,-0.057925,0.001890,0.563884,-0.126766,-0.015862,0.087920,-0.108143,0.145883,1.300220,-0.084467,0.156363,1.551560,-0.028753,0.153681,1.672560,-0.072828,0.153888,1.778780,-0.099766,0.299412,1.481350,-0.016287,0.386702,1.215110,0.223359,0.400875,1.302670,-0.072288,0.007314,1.494450,0.010917,-0.088370,1.231010,0.244146,-0.112707,1.332550,0.013303,0.273701,0.036892,0.086921,0.286029,0.029581,0.033022,-0.009311,0.048807,0.105569,-0.006156,0.030049,0.181622,0.490049,1.285180,0.312873,0.444536,1.311660,0.228051,-0.211027,1.323950,0.378938,-0.133214,1.314750
140,-0.025345,0.142036,1.040130,-0.036523,0.274905,1.026490,-0.105683,0.259729,0.541830,-0.147178,0.247390,0.062537,-0.014456,0.008956,1.051800,-0.057525,0.001956,0.563941,-0.126738,-0.015790,0.088030,-0.106630,0.145772,1.300400,-0.083237,0.156226,1.551770,-0.027572,0.153563,1.672790,-0.071850,0.153787,1.778920,-0.098020,0.299584,1.482090,-0.009082,0.386810,1.217590,0.223152,0.396303,1.323770,-0.069709,0.007272,1.494710,0.019249,-0.088491,1.233190,0.245341,-0.107396,1.350760,0.013309,0.273688,0.036901,0.086918,0.286028,0.029523,0.033028,-0.009311,0.048818,0.105570,-0.006192,0.030033,0.185206,0.486991,1.305450,0.313100,0.437101,1.339420,0.227566,-0.204743,1.336360,0.380649,-0.131696,1.348020
141,-0.024216,0.142162,1.040080,-0.035540,0.275023,1.026490,-0.104979,0.259799,0.541871,-0.147135,0.247399,0.062637,-0.013185,0.009090,1.051710,-0.056933,0.002023,0.563920,-0.126732,-0.015755,0.088097,-0.104873,0.145768,1.300550,-0.081123,0.155931,1.551910,-0.026057,0.153488,1.673200,-0.070688,0.153771,1.779190,-0.095940,0.299607,1.482880,-0.001739,0.386701,1.220170,0.221981,0.391258,1.343570,-0.067323,0.006984,1.494890,0.026742,-0.088239,1.234970,0.243418,-0.102362,1.369690,0.013335,0.273679,0.036883,0.086942,0.286013,0.029467,0.033022,-0.009281,0.048836,0.105557,-0.006164,0.030024,0.186919,0.482794,1.323780,0.310852,0.430445,1.367370,0.226891,-0.199990,1.355700,0.378618,-0.126303,1.377040
142,-0.023212,0.142123,1.040080,-0.034468,0.274991,1.026490,-0.104269,0.259817,0.541923,-0.147122,0.247424,0.062751,-0.012251,0.009045,1.051700,-0.056228,0.002066,0.563923,-0.126682,-0.015764,0.088198,-0.102891,0.146194,1.300840,-0.079835,0.155574,1.552290,-0.024568,0.153420,1.673500,-0.069406,0.153682,1.779400,-0.093927,0.299540,1.483720,0.005533,0.386492,1.222910,0.219431,0.386089,1.362710,-0.065259,0.006751,1.495140,0.033967,-0.087763,1.236880,0.240999,-0.097839,1.386330,0.013338,0.273658,0.036889,0.086943,0.285971,0.029416,0.033050,-0.009289,0.048845,0.105574,-0.006171,0.029989,0.186812,0.477924,1.340300,0.306269,0.424567,1.394000,0.227327,-0.196119,1.373920,0.375501,-0.118975,1.405530
143,-0.021958,0.142099,1.040010,-0.033230,0.274966,1.026430,-0.103453,0.259833,0.541925,-0.147113,0.247440,0.062826,-0.010983,0.009021,1.051620,-0.055678,0.002078,0.563908,-0.126671,-0.015690,0.088261,-0.100764,0.146401,1.301030,-0.077733,0.155376,1.552500,-0.022795,0.153287,1.673860,-0.067970,0.153584,1.779610,-0.091817,0.299617,1.484510,0.013134,0.386435,1.225810,0.215881,0.380378,1.381230,-0.062115,0.006669,1.495320,0.042084,-0.086981,1.238710,0.237704,-0.092149,1.403040,0.013338,0.273678,0.036909,0.086938,0.285992,0.029394,0.033049,-0.009270,0.048853,0.105570,-0.006179,0.029980,0.182318,0.472551,1.361800,0.300951,0.418895,1.417000,0.222830,-0.190355,1.391450,0.370122,-0.115589,1.431720
144,-0.020716,0.142089,1.039990,-0.032038,0.274955,1.026440,-0.102751,0.259864,0.542008,-0.147073,0.247480,0.062969,-0.009692,0.009012,1.051560,-0.055148,0.002037,0.563923,-0.126657,-0.015652,0.088350,-0.098739,0.146407,1.301240,-0.076416,0.154766,1.552790,-0.021183,0.153070,1.674030,-0.066462,0.153424,1.779740,-0.089681,0.299328,1.485330,0.020931,0.386562,1.229140,0.212561,0.374758,1.397770,-0.060459,0.006048,1.495750,0.048803,-0.086980,1.241020,0.233289,-0.086792,1.417840,0.013363,0.273674,0.036913,0.086959,0.285969,0.029335,0.033044,-0.009286,0.048857,0.105546,-0.006215,0.029908,0.185549,0.468163,1.374410,0.295275,0.409690,1.441800,0.218284,-0.184918,1.405740,0.362578,-0.111463,1.457610
145,-0.019383,0.142069,1.039880,-0.030843,0.274926,1.026360,-0.102104,0.259890,0.542004,-0.147082,0.247497,0.063027,-0.008224,0.009000,1.051420,-0.054481,0.002017,0.563860,-0.126647,-0.015689,0.088387,-0.096725,0.146342,1.301340,-0.073941,0.154419,1.552850,-0.019347,0.152754,1.674380,-0.064839,0.153192,1.780000,-0.087193,0.299294,1.486060,0.028008,0.386667,1.231950,0.207134,0.368895,1.413320,-0.057608,0.005730,1.495840,0.055704,-0.086711,1.242670,0.227783,-0.081819,1.431520,0.013352,0.273669,0.036937,0.086945,0.285952,0.029305,0.033048,-0.009287,0.048876,0.105556,-0.006205,0.029950,0.179159,0.462554,1.392220,0.287176,0.403786,1.462070,0.214730,-0.179858,1.416760,0.352841,-0.106250,1.483190
146,-0.018139,0.142011,1.039760,-0.029682,0.274864,1.026270,-0.101482,0.259855,0.541994,-0.147070,0.247477,0.063074,-0.006901,0.008947,1.051290,-0.053737,0.001993,0.563779,-0.126622,-0.015741,0.088417,-0.094700,0.146464,1.301450,-0.071751,0.153817,1.552980,-0.017211,0.152577,1.674530,-0.063004,0.152910,1.780020,-0.084751,0.298967,1.486730,0.035056,0.386793,1.234920,0.201651,0.362992,1.427210,-0.055070,0.005257,1.495720,0.062911,-0.086452,1.244430,0.222084,-0.076741,1.444100,0.013354,0.273651,0.036922,0.086946,0.285936,0.029291,0.033065,-0.009295,0.048877,0.105573,-0.006196,0.029958,0.175063,0.456949,1.405650,0.277835,0.397181,1.482230,0.208654,-0.175006,1.431310,0.342449,-0.101233,1.505900
147,-0.016810,0.141926,1.039620,-0.028456,0.274770,1.026130,-0.100915,0.259782,0.541947,-0.147060,0.247437,0.063080,-0.005474,0.008870,1.051140,-0.053243,0.001902,0.563721,-0.126611,-0.015727,0.088430,-0.092599,0.146453,1.301530,-0.069796,0.153343,1.553080,-0.015271,0.152105,1.674640,-0.061247,0.152529,1.780050,-0.082228,0.298606,1.486970,0.042651,0.386174,1.237540,0.195493,0.357444,1.440300,-0.052694,0.004998,1.495390,0.070019,-0.086475,1.246290,0.215576,-0.071894,1.455820,0.013359,0.273632,0.036924,0.086948,0.285924,0.029268,0.033061,-0.009287,0.048832,0.105582,-0.006204,0.029960,0.170253,0.451844,1.419060,0.267809,0.390437,1.500980,0.202570,-0.170287,1.443580,0.331513,-0.095912,1.525730
148,-0.015501,0.141776,1.039480,-0.027319,0.274608,1.026020,-0.100277,0.259696,0.541912,-0.147062,0.247429,0.063105,-0.003996,0.008732,1.050970,-0.052697,0.001800,0.563642,-0.126643,-0.015696,0.088435,-0.090624,0.146222,1.301580,-0.067400,0.152834,1.553100,-0.013007,0.151808,1.674720,-0.059173,0.152142,1.780050,-0.079713,0.298338,1.487500,0.048435,0.386645,1.240000,0.186696,0.352360,1.452150,-0.049981,0.004555,1.495340,0.076235,-0.086751,1.247940,0.208480,-0.067147,1.465710,0.013358,0.273619,0.036948,0.086944,0.285907,0.029259,0.033041,-0.009283,0.048880,0.105545,-0.006197,0.029944,0.162205,0.447246,1.432230,0.256954,0.383890,1.515940,0.195366,-0.165593,1.454030,0.318908,-0.091148,1.544040
149,-0.014206,0.141686,1.039360,-0.026102,0.274514,1.025940,-0.099719,0.259618,0.541927,-0.147038,0.247389,0.063171,-0.002625,0.008645,1.050810,-0.051915,0.001743,0.563542,-0.126620,-0.015739,0.088453,-0.088865,0.145891,1.301600,-0.065130,0.152468,1.553070,-0.011015,0.151301,1.674810,-0.057215,0.151660,1.780120,-0.077290,0.298171,1.487890,0.054447,0.386858,1.242410,0.179707,0.346654,1.461480,-0.047399,0.004302,1.495120,0.082175,-0.087082,1.249480,0.200988,-0.062500,1.474380,0.013350,0.273628,0.036865,0.086943,0.285943,0.029291,0.033059,-0.009276,0.048889,0.105559,-0.006165,0.029938,0.155345,0.441526,1.441340,0.245602,0.378086,1.529820,0.187611,-0.160989,1.463380,0.305528,-0.086312,1.560460
150,-0.013002,0.141547,1.039220,-0.024996,0.274369,1.025820,-0.099083,0.259547,0.541882,-0.147022,0.247398,0.063186,-0.001325,0.008513,1.050650,-0.051407,0.001605,0.563462,-0.126601,-0.015735,0.088445,-0.087046,0.145698,1.301630,-0.063114,0.151806,1.553100,-0.008859,0.150908,1.674780,-0.055083,0.151173,1.780080,-0.074936,0.297661,1.488200,0.059712,0.386899,1.244510,0.172022,0.341315,1.469470,-0.045125,0.003779,1.494870,0.087596,-0.087614,1.250930,0.193684,-0.058107,1.481520,0.013377,0.273626,0.036935,0.086962,0.285934,0.029269,0.033077,-0.009273,0.048874,0.105578,-0.006165,0.029930,0.148367,0.436244,1.448760,0.234038,0.372475,1.541460,0.179731,-0.156574,1.471050,0.290993,-0.081910,1.575700
151,-0.011858,0.141331,1.039070,-0.023908,0.274152,1.025710,-0.098552,0.259446,0.541856,-0.147040,0.247389,0.063212,-0.000129,0.008298,1.050460,-0.050927,0.001446,0.563347,-0.126616,-0.015802,0.088406,-0.085310,0.145653,1.301650,-0.060799,0.151469,1.553070,-0.006743,0.150423,1.674840,-0.053034,0.150695,1.780110,-0.072665,0.297516,1.488600,0.064306,0.386620,1.246160,0.163721,0.336760,1.476230,-0.042728,0.003572,1.494530,0.092770,-0.088296,1.252300,0.186258,-0.053995,1.487630,0.013345,0.273623,0.036882,0.086936,0.285937,0.029285,0.033067,-0.009271,0.048866,0.105568,-0.006129,0.029927,0.140000,0.431766,1.455940,0.222675,0.367432,1.550950,0.171846,-0.152452,1.477710,0.276008,-0.077364,1.589150
152,-0.010757,0.141114,1.038920,-0.022910,0.273926,1.025570,-0.098239,0.259314,0.541820,-0.147028,0.247410,0.063203,0.001071,0.008089,1.050300,-0.050471,0.001281,0.563269,-0.126616,-0.015857,0.088396,-0.083752,0.145640,1.301620,-0.058890,0.150635,1.553030,-0.004695,0.149964,1.674740,-0.051020,0.150205,1.779990,-0.070570,0.296809,1.488820,0.068770,0.386048,1.247780,0.156336,0.331617,1.481590,-0.040567,0.002954,1.494030,0.097917,-0.088889,1.253480,0.177865,-0.049970,1.493040,0.013368,0.273624,0.036927,0.086957,0.285928,0.029287,0.033068,-0.009288,0.048867,0.105570,-0.006127,0.029931,0.131733,0.426154,1.460200,0.211086,0.363381,1.559010,0.162557,-0.148295,1.483150,0.261240,-0.073694,1.599780
153,-0.009725,0.140858,1.038780,-0.021985,0.273663,1.025460,-0.097822,0.259171,0.541783,-0.147041,0.247375,0.063208,0.002208,0.007840,1.050140,-0.050093,0.001074,0.563183,-0.126623,-0.015891,0.088366,-0.082740,0.145600,1.301480,-0.057285,0.150339,1.552820,-0.002953,0.149482,1.674470,-0.049107,0.149714,1.779800,-0.068707,0.296686,1.488960,0.072492,0.385150,1.248720,0.148058,0.327739,1.485980,-0.038289,0.002875,1.493490,0.102680,-0.089451,1.254580,0.168960,-0.045714,1.497460,0.013352,0.273621,0.036942,0.086941,0.285938,0.029326,0.033066,-0.009302,0.048861,0.105564,-0.006129,0.029915,0.122832,0.422038,1.464270,0.199810,0.359844,1.565300,0.152057,-0.143736,1.487170,0.246565,-0.070725,1.608180
154,-0.008733,0.140585,1.038590,-0.021022,0.273389,1.025280,-0.097552,0.258989,0.541709,-0.147044,0.247338,0.063159,0.003227,0.007569,1.049950,-0.049927,0.000815,0.563083,-0.126643,-0.015865,0.088286,-0.081247,0.145536,1.301420,-0.054831,0.149514,1.552690,-0.000940,0.149096,1.674530,-0.047166,0.149187,1.779830,-0.066842,0.295943,1.489120,0.075971,0.384164,1.249750,0.141922,0.323492,1.489060,-0.036214,0.002069,1.493190,0.107306,-0.089939,1.255670,0.159925,-0.042133,1.501120,0.013353,0.273598,0.036928,0.086942,0.285921,0.029328,0.033064,-0.009297,0.048853,0.105563,-0.006127,0.029910,0.115247,0.416965,1.465580,0.188393,0.357310,1.570890,0.142094,-0.139955,1.490500,0.232354,-0.067718,1.615160
155,-0.007922,0.140354,1.038540,-0.020316,0.273151,1.025250,-0.097298,0.258835,0.541750,-0.147043,0.247271,0.063224,0.004138,0.007345,1.049860,-0.049900,0.000580,0.563090,-0.126679,-0.015812,0.088293,-0.080505,0.145274,1.301350,-0.052950,0.149131,1.552490,0.000835,0.148677,1.674380,-0.045309,0.148754,1.779720,-0.065146,0.295649,1.489160,0.079066,0.383038,1.250330,0.134406,0.320147,1.491740,-0.034326,0.001664,1.493050,0.111606,-0.090319,1.257000,0.151152,-0.038678,1.504120,0.013329,0.273594,0.036909,0.086918,0.285944,0.029354,0.033029,-0.009280,0.048854,0.105541,-0.006136,0.029958,0.105794,0.412783,1.467240,0.177336,0.355395,1.574890,0.132988,-0.136347,1.492680,0.218257,-0.064867,1.621240
156,-0.007085,0.140033,1.038310,-0.019589,0.272821,1.025050,-0.097192,0.258641,0.541641,-0.147057,0.247266,0.063123,0.005082,0.007032,1.049620,-0.049743,0.000302,0.562939,-0.126733,-0.015825,0.088167,-0.079047,0.145464,1.301280,-0.051191,0.148662,1.552400,0.002626,0.148350,1.674280,-0.043519,0.148318,1.779620,-0.063531,0.295200,1.489150,0.081794,0.381949,1.250760,0.127358,0.317508,1.493800,-0.032821,0.001175,1.492930,0.115675,-0.090914,1.258530,0.143161,-0.035548,1.506480,0.013338,0.273587,0.036948,0.086923,0.285932,0.029343,0.033001,-0.009289,0.048834,0.105522,-0.006140,0.029971,0.097087,0.409265,1.468020,0.166667,0.354163,1.578130,0.124449,-0.133037,1.494400,0.204544,-0.062214,1.626590
157,-0.006419,0.139707,1.038090,-0.019030,0.272487,1.024840,-0.097193,0.258427,0.541516,-0.147079,0.247206,0.062996,0.005855,0.006715,1.049380,-0.049542,0.000033,0.562769,-0.126773,-0.015915,0.088030,-0.077298,0.144770,1.301360,-0.049894,0.148395,1.552520,0.004289,0.148077,1.674240,-0.041869,0.148049,1.779570,-0.062138,0.294875,1.489120,0.083998,0.380720,1.250890,0.120455,0.315508,1.495260,-0.031804,0.000963,1.492840,0.119148,-0.091383,1.260110,0.135159,-0.032714,1.508300,0.013317,0.273572,0.036868,0.086911,0.285938,0.029387,0.032992,-0.009324,0.048832,0.105511,-0.006138,0.029971,0.087431,0.406053,1.468600,0.156577,0.353732,1.580320,0.115863,-0.129951,1.495170,0.191660,-0.060438,1.630550
158,-0.005939,0.139310,1.038040,-0.018568,0.272089,1.024800,-0.097149,0.258199,0.541543,-0.147054,0.247188,0.063020,0.006350,0.006319,1.049330,-0.049638,-0.000268,0.562780,-0.126809,-0.015945,0.088023,-0.076851,0.144473,1.301310,-0.049424,0.148509,1.552460,0.005426,0.147901,1.673880,-0.040398,0.147916,1.779350,-0.061078,0.294979,1.488920,0.086072,0.379436,1.250820,0.113833,0.314136,1.496310,-0.032570,0.000871,1.492920,0.120688,-0.091395,1.261670,0.126585,-0.030936,1.509880,0.013347,0.273566,0.036936,0.086935,0.285936,0.029405,0.032957,-0.009327,0.048837,0.105477,-0.006129,0.029976,0.078736,0.403544,1.468480,0.147028,0.353806,1.581890,0.106916,-0.128081,1.496620,0.181085,-0.058781,1.633010
159,-0.005492,0.138981,1.037890,-0.018266,0.271748,1.024670,-0.097159,0.257993,0.541456,-0.147075,0.247146,0.062931,0.006941,0.006001,1.049150,-0.049411,-0.000484,0.562640,-0.126846,-0.016007,0.087920,-0.076110,0.144052,1.301230,-0.047956,0.148196,1.552300,0.006635,0.147651,1.673830,-0.039087,0.147772,1.779350,-0.060185,0.294722,1.489000,0.087455,0.378344,1.250910,0.108144,0.313216,1.497140,-0.029120,0.000644,1.493140,0.126208,-0.091662,1.263290,0.119290,-0.028980,1.510920,0.013341,0.273549,0.036963,0.086928,0.285928,0.029431,0.032944,-0.009350,0.048838,0.105466,-0.006126,0.029991,0.071273,0.401440,1.467870,0.138166,0.354324,1.583210,0.099816,-0.125937,1.496090,0.171060,-0.058339,1.634880
160,-0.005177,0.138590,1.037850,-0.017994,0.271353,1.024620,-0.097078,0.257771,0.541438,-0.147080,0.247134,0.062917,0.007298,0.005614,1.049110,-0.049428,-0.000781,0.562647,-0.126861,-0.016059,0.087919,-0.075832,0.143951,1.301170,-0.047664,0.148233,1.552240,0.007395,0.147545,1.673560,-0.038050,0.147705,1.779200,-0.060094,0.294702,1.488850,0.088190,0.377573,1.250900,0.103019,0.313009,1.497700,-0.028976,0.000603,1.493230,0.129683,-0.091910,1.265750,0.112860,-0.026543,1.512210,0.013336,0.273539,0.036948,0.086927,0.285920,0.029466,0.032931,-0.009360,0.048848,0.105461,-0.006122,0.030038,0.064680,0.400229,1.467320,0.130505,0.355184,1.584100,0.092493,-0.122939,1.495100,0.162325,-0.059031,1.636320
